No,자료시점,분류,분류,분류,분류,발생,발생,검거(건),검거(건),검거(계)(명),검거(계)(명),검거(계)(명),검거(계)(명)
No,자료시점,분류,분류,분류,분류,발생건수,발생비,검거건수,검거율,검거(계)(명),남,여,미상
No,자료시점,분류,분류,분류,분류,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료
247,2019년,형법범,재산범죄,절도,절도,"180,501",349.07,"108,011",59.83956,"98,668","71,852","26,173",643
248,2019년,형법범,재산범죄,절도,침입절도,"6,467",12.51,"5,682",87.86145,"3,004","2,805",196,3
249,2019년,형법범,재산범죄,사기,보험사기방지특별법,"3,205",6.20,"3,113",97.12949,"9,734","6,524","3,207",3
250,2019년,형법범,재산범죄,사기,부당이득,76,0.15,51,67.10526,85,58,20,7
251,2019년,형법범,재산범죄,사기,사기,"305,095",590.02,"224,228",73.49449,"246,950","186,569","56,116","4,265"
252,2019년,형법범,재산범죄,사기,전기통신금융사기피해금환급에관한특별법,990,1.91,558,56.36364,723,516,202,5
253,2019년,형법범,재산범죄,사기,컴퓨터등사용사기,"3,002",5.81,"1,693",56.39574,"2,156","1,688",365,103
254,2019년,형법범,재산범죄,사기,편의시설부정이용,"1,225",2.37,969,79.10204,"1,180",975,186,19
255,2019년,형법범,강력범죄(흉악),살인,살인(기수),323,0.62,315,97.52322,466,289,84,93
256,2019년,형법범,강력범죄(흉악),살인,"살인(미수, 예비, 음모, 방조)",524,1.01,508,96.94656,584,470,71,43
257,2019년,형법범,강력범죄(흉악),강도,강도,566,1.09,563,99.46996,858,706,87,65
258,2019년,형법범,강력범죄(흉악),강도,강도강간/강제추행,10,0.02,11,110,12,11,0,1
259,2019년,형법범,강력범죄(흉악),강도,강도살인,22,0.04,22,100,26,25,1,0
260,2019년,형법범,강력범죄(흉악),강도,강도상해,228,0.44,228,100,563,447,76,40
261,2019년,형법범,강력범죄(흉악),강도,강도치사,0,0.00,0,0,0,0,0,0
262,2019년,형법범,강력범죄(흉악),강도,강도치상,19,0.04,19,100,36,32,4,0
263,2019년,형법범,강력범죄(흉악),방화,방화치사,13,0.03,12,92.30769,17,14,3,0
264,2019년,형법범,강력범죄(흉악),방화,방화치상,32,0.06,32,100,32,23,9,0
265,2019년,형법범,강력범죄(흉악),성폭력,간음,251,0.49,252,100.39841,315,312,2,1
