room_sigudong,room_number,longitude,latitude,security_score,security_fac,room_area,room_contract,building_type,room_price,URL
서울특별시 강서구 화곡동,11784351,126.85811788372,37.534647059245,22,현관보안 / CCTV / 인터폰 / 비디오폰 / 카드키 / 방범창,38.2,전세,공동주택,1억3000,https://www.peterpanz.com/house/11784351
서울특별시 동작구 사당동,11781886,126.98083906356,37.479279016637,17,현관보안 / CCTV / 인터폰 / 비디오폰 / 카드키,33.05,전세,단독주택,2억,https://www.peterpanz.com/house/11781886
서울특별시 광진구 화양동,11781884,127.066567116356,37.542619635049,14,현관보안 / CCTV / 인터폰,21.48,월세,단독주택,500/50,https://www.peterpanz.com/house/11781884
서울특별시 강서구 마곡동,11781883,126.837241771466,37.5751905878776,18,현관보안 / CCTV / 인터폰 / 비디오폰 / 카드키,27.55,월세,공동주택,1000/83,https://www.peterpanz.com/house/11781883
서울특별시 영등포구 당산동1가,11781879,126.900558740526,37.5219849620712,22,현관보안 / CCTV / 인터폰 / 비디오폰 / 카드키 / 방범창,29.26,전세,공동주택,3억7500,https://www.peterpanz.com/house/11781879
서울특별시 관악구 신림동,11781877,126.924231542143,37.4804098436529,14,현관보안 / CCTV / 인터폰,23.14,전세,단독주택,1억3000,https://www.peterpanz.com/house/11781877
서울특별시 강서구 화곡동,11781875,126.839372274454,37.5298331636508,17,현관보안 / CCTV / 인터폰 / 비디오폰,29.79,전세,공동주택,2억4500,https://www.peterpanz.com/house/11781875
경기도 부천시 심곡동,11781870,126.787955146148,37.4884470820223,2,-,47.12,전세,공동주택,1억6000,https://www.peterpanz.com/house/11781870
경기도 부천시 여월동,11781869,126.801077932657,37.5170120998348,22,현관보안 / CCTV / 인터폰 / 비디오폰 / 카드키 / 방범창,39.3,전세,공동주택,2억3000,https://www.peterpanz.com/house/11781869
서울특별시 중랑구 면목동,11781867,127.087028857416,37.575608219229,15,현관보안 / CCTV / 인터폰 / 비디오폰,26.8,전세,미등기건물,3억1000,https://www.peterpanz.com/house/11781867
서울특별시 영등포구 당산동1가,11781866,126.900558740526,37.5219849620712,22,현관보안 / CCTV / 인터폰 / 비디오폰 / 카드키 / 방범창,29.26,매매,공동주택,3억8700,https://www.peterpanz.com/house/11781866
서울특별시 관악구 남현동,11781865,126.97342218033,37.472599382701,14,현관보안 / CCTV / 인터폰,24.11,전세,단독주택,3억9500,https://www.peterpanz.com/house/11781865
서울특별시 서대문구 연희동,11781862,126.931124185965,37.5650195471793,7,현관보안,16.53,월세,단독주택,500/45,https://www.peterpanz.com/house/11781862
서울특별시 강서구 화곡동,11781849,126.84282900218,37.5352712966507,22,현관보안 / CCTV / 인터폰 / 비디오폰 / 카드키 / 방범창,37.15,매매,공동주택,2억5000,https://www.peterpanz.com/house/11781849
서울특별시 은평구 갈현동,11781839,126.913361708692,37.6176901055525,13,현관보안 / CCTV,24.65,전세,공동주택,1억7800,https://www.peterpanz.com/house/11781839
서울특별시 금천구 가산동,11781830,126.890133168492,37.4782663170956,18,현관보안 / CCTV / 인터폰 / 비디오폰 / 카드키,23.93,전세,공동주택,2억3000,https://www.peterpanz.com/house/11781830
서울특별시 양천구 신정동,11781828,126.84975966118,37.526886143091,14,현관보안 / 인터폰 / 방범창,47.72,전세,공동주택,1억4000,https://www.peterpanz.com/house/11781828
서울특별시 강서구 화곡동,11781817,126.8571378423,37.53864029231,15,현관보안 / CCTV / 비디오폰,29.75,전세,공동주택,2억3700,https://www.peterpanz.com/house/11781817
서울특별시 관악구 신림동,11781810,126.905079687087,37.4827704380101,14,현관보안 / CCTV / 인터폰,45,전세,단독주택,2억5000,https://www.peterpanz.com/house/11781810
서울특별시 관악구 봉천동,11781805,126.954506472491,37.4812715168132,13,현관보안 / CCTV / 인터폰,16.53,전세,제2종 근린생활시설,1억3000,https://www.peterpanz.com/house/11781805
서울특별시 광진구 화양동,11781779,127.068475127248,37.5443616173189,12,현관보안 / CCTV,20.49,월세,단독주택,5000/20,https://www.peterpanz.com/house/11781779
서울특별시 관악구 신림동,11781773,126.92775583982,37.487527393799,8,인터폰 / 카드키 / 방범창,65.22,전세,단독주택,2억5000,https://www.peterpanz.com/house/11781773
서울특별시 광진구 화양동,11781757,127.067717131146,37.542278853868,18,현관보안 / CCTV / 인터폰 / 방범창,16.53,월세,단독주택,500/30,https://www.peterpanz.com/house/11781757
서울특별시 광진구 화양동,11781755,127.06822207161,37.5463072008881,14,현관보안 / CCTV / 비디오폰,52.88,월세,단독주택,1000/120,https://www.peterpanz.com/house/11781755
서울특별시 관악구 봉천동,11781705,126.94335593186,37.48997525247,17,현관보안 / CCTV / 인터폰 / 비디오폰 / 카드키,39.66,전세,단독주택,1억6000,https://www.peterpanz.com/house/11781705
서울특별시 강서구 화곡동,11781695,126.84955760035,37.533387553592,15,현관보안 / CCTV / 비디오폰,19.83,전세,공동주택,2억4500,https://www.peterpanz.com/house/11781695
서울특별시 강북구 수유동,11781694,127.016307422186,37.6283106274986,17,현관보안 / CCTV / 인터폰 / 비디오폰,59.56,전세,공동주택,3억9200,https://www.peterpanz.com/house/11781694
서울특별시 관악구 신림동,11781689,126.939223877441,37.4748199043813,18,현관보안 / CCTV / 인터폰 / 방범창,33.05,월세,단독주택,3000/65,https://www.peterpanz.com/house/11781689
