No,자료시점,분류,분류,분류,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
No,자료시점,분류,분류,분류,계,남자(소계),남자(소계),남자(소계),남자(소계),남자(소계),남자(소계),남자(소계),남자(소계),남자(소계),남자(소계),남자(소계),여자(소계),여자(소계),여자(소계),여자(소계),여자(소계),여자(소계),여자(소계),여자(소계),여자(소계),여자(소계),여자(소계),미상
No,자료시점,분류,분류,분류,계,남자(소계),6세이하,12세이하,15세이하,20세이하,30세이하,40세이하,50세이하,60세이하,60세초과,미상,여자(소계),6세이하,12세이하,15세이하,20세이하,30세이하,40세이하,50세이하,60세이하,60세초과,미상,미상
No,자료시점,분류,분류,분류,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료
32,2016년,형법범,강력범죄(폭력),체포와 감금,"1,579",469,2,4,14,56,72,63,82,94,81,1,"1,039",0,5,25,129,253,202,262,107,56,0,71
33,2016년,형법범,강력범죄(폭력),"폭력행위등(단체등의구성,활동)",190,75,0,0,0,8,23,11,13,15,5,0,21,0,0,2,0,4,3,6,5,1,0,94
34,2016년,형법범,강력범죄(폭력),"폭력행위등(손괴,강요,주거침입등)",878,531,0,0,15,17,41,84,132,147,94,1,236,0,1,3,8,14,40,67,73,29,1,111
35,2016년,형법범,강력범죄(폭력),폭행,"172,071","88,879",97,477,"1,607","10,162","17,424","13,926","16,872","18,952","9,290",72,"55,175",52,176,795,"3,991","10,296","11,535","13,097","10,381","4,844",8,"28,017"
36,2016년,형법범,강력범죄(폭력),협박,"16,444","7,757",3,19,79,350,"1,215","1,670","1,755","1,660",998,8,"7,509",1,29,105,382,"1,095","1,424","2,119","1,602",747,5,"1,178"
37,2017년,형법범,강력범죄(흉악),강도,990,531,0,2,6,62,100,102,82,115,62,0,428,0,2,1,48,96,57,70,97,57,0,31
38,2017년,형법범,강력범죄(흉악),방화,"1,358",658,0,2,0,4,47,85,185,167,166,2,457,0,1,2,9,39,60,116,125,105,0,243
39,2017년,형법범,강력범죄(흉악),살인,858,480,14,2,4,11,60,79,115,115,80,0,333,14,6,0,9,27,47,71,93,66,0,45
40,2017년,형법범,강력범죄(흉악),성폭력,"32,824","1,778",21,150,104,318,599,236,178,112,44,16,"29,272",134,956,"1,560","6,071","11,257","3,544","2,503","1,655",657,935,"1,774"
41,2017년,형법범,강력범죄(폭력),공갈,"4,981","3,657",0,66,529,656,634,532,597,453,179,11,949,0,16,59,84,118,140,199,245,86,2,375
42,2017년,형법범,강력범죄(폭력),상해,"49,376","27,478",21,101,699,"2,768","5,201","4,350","5,217","5,516","3,547",58,"15,371",17,32,261,"1,034","2,350","2,683","3,475","3,403","2,107",9,"6,527"
43,2017년,형법범,강력범죄(폭력),약취와 유인,216,72,29,20,9,4,2,1,3,3,1,0,133,21,50,14,19,14,5,8,0,1,1,11
44,2017년,형법범,강력범죄(폭력),체포와 감금,"1,728",472,1,5,18,77,80,58,80,92,58,3,"1,158",1,5,29,95,316,226,267,144,74,1,98
45,2017년,형법범,강력범죄(폭력),"폭력행위등(단체등의구성,활동)",140,42,0,0,1,3,10,15,6,2,4,1,13,0,0,2,2,4,1,1,3,0,0,85
46,2017년,형법범,강력범죄(폭력),"폭력행위등(손괴,강요,주거침입등)",843,502,0,1,14,19,46,102,105,115,100,0,240,0,0,1,13,27,40,42,65,52,0,101
47,2017년,형법범,강력범죄(폭력),폭행,"165,498","89,014",109,533,"1,603","10,163","19,123","14,068","15,975","17,605","9,766",69,"51,626",56,177,796,"4,030","10,137","10,294","11,695","9,642","4,781",18,"24,858"
48,2017년,형법범,강력범죄(폭력),협박,"16,007","7,754",5,40,80,331,"1,353","1,882","1,608","1,505",938,12,"7,126",0,37,119,416,"1,102","1,414","1,792","1,538",702,6,"1,127"
49,2018년,형법범,강력범죄(흉악),강도,841,419,0,2,7,50,88,67,62,74,69,0,394,0,1,1,43,91,55,67,76,58,2,28
50,2018년,형법범,강력범죄(흉악),방화,"1,478",727,0,0,2,11,54,104,166,209,175,6,486,0,0,0,8,27,50,115,162,124,0,265
51,2018년,형법범,강력범죄(흉악),살인,849,454,15,2,0,9,44,68,96,125,95,0,317,8,4,2,12,37,49,54,71,78,2,78
52,2018년,형법범,강력범죄(흉악),성폭력,"32,104","1,938",23,149,111,354,665,258,175,147,39,17,"28,116",101,"1,005","1,313","5,495","10,926","3,531","2,550","1,674",728,793,"2,050"
53,2018년,형법범,강력범죄(폭력),공갈,"4,823","3,702",0,60,561,766,658,505,553,383,206,10,747,0,7,42,71,113,91,164,159,97,3,374
54,2018년,형법범,강력범죄(폭력),상해,"43,666","24,395",16,95,637,"2,249","4,430","3,789","4,570","5,108","3,454",47,"13,855",13,26,226,878,"2,107","2,397","3,064","3,031","2,108",5,"5,416"
55,2018년,형법범,강력범죄(폭력),약취와 유인,199,57,21,19,3,2,2,3,3,4,0,0,125,24,39,19,22,12,4,3,0,2,0,17
56,2018년,형법범,강력범죄(폭력),체포와 감금,"1,494",466,1,7,22,90,81,59,63,77,63,3,943,1,4,23,124,245,191,192,108,54,1,85
