No,자료시점,분류,분류,분류,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
No,자료시점,분류,분류,분류,계,아파트연립다세대,단독주택,고속도로,노상,상점,시장노점,숙박업소목욕탕,유흥접객업소,사무실,공장,공사장광산,창고,역대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,기타
No,자료시점,분류,분류,분류,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료
32,2016년,형법범,강력범죄(폭력),체포와 감금,"1,579",164,119,10,356,24,3,72,49,74,6,2,2,1,0,50,1,2,10,1,62,8,3,1,0,4,0,555
33,2016년,형법범,강력범죄(폭력),"폭력행위등(단체등의구성,활동)",190,7,8,0,51,2,0,1,30,14,0,0,0,0,0,0,0,8,1,0,1,1,0,0,0,0,0,66
34,2016년,형법범,강력범죄(폭력),"폭력행위등(손괴,강요,주거침입등)",878,101,117,0,126,14,13,15,32,77,17,21,2,0,0,0,2,5,17,1,1,16,10,1,0,2,0,288
35,2016년,형법범,강력범죄(폭력),폭행,"172,071","12,634","9,720",122,"61,708","2,504",543,973,"11,459","2,791",490,355,38,508,267,626,100,"1,261",607,72,"1,033",194,195,52,24,124,7,"63,664"
36,2016년,형법범,강력범죄(폭력),협박,"16,444","1,856","1,909",265,"4,534",303,62,104,766,639,53,34,5,17,12,40,5,64,69,8,134,36,48,2,3,16,2,"5,458"
37,2017년,형법범,강력범죄(흉악),강도,990,83,87,1,261,119,5,71,62,25,3,1,1,2,0,6,1,6,5,10,1,5,7,1,0,0,0,227
38,2017년,형법범,강력범죄(흉악),방화,"1,358",203,227,0,174,11,6,14,33,28,16,12,14,2,1,2,1,13,11,4,8,14,11,1,0,0,0,552
39,2017년,형법범,강력범죄(흉악),살인,858,182,161,2,136,4,1,34,40,21,3,0,2,1,0,6,0,5,1,1,9,3,7,5,0,0,0,234
40,2017년,형법범,강력범죄(흉악),성폭력,"32,824","2,845","2,431",20,"4,448",798,185,"2,673","2,588",596,55,13,19,"1,481","1,692","1,035",79,284,491,20,292,61,39,3,15,29,3,"10,629"
41,2017년,형법범,강력범죄(폭력),공갈,"4,981",256,304,3,996,134,44,73,604,363,23,46,4,13,0,16,3,40,100,29,22,10,11,1,1,7,0,"1,878"
42,2017년,형법범,강력범죄(폭력),상해,"49,376","3,855","3,098",47,"16,900",699,300,525,"5,186","1,466",399,281,33,146,30,142,48,507,561,15,400,171,210,36,4,134,8,"14,175"
43,2017년,형법범,강력범죄(폭력),약취와 유인,216,23,11,0,78,2,0,8,6,1,0,0,0,4,1,1,0,3,14,0,1,1,1,0,0,0,0,61
44,2017년,형법범,강력범죄(폭력),체포와 감금,"1,728",203,140,9,356,13,3,51,57,85,5,4,3,4,0,58,0,0,13,0,40,12,5,0,0,0,1,666
45,2017년,형법범,강력범죄(폭력),"폭력행위등(단체등의구성,활동)",140,2,5,0,51,3,0,2,29,3,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,36
46,2017년,형법범,강력범죄(폭력),"폭력행위등(손괴,강요,주거침입등)",843,104,103,1,112,39,8,17,30,40,10,18,3,2,0,0,0,2,25,0,1,15,5,0,0,0,1,307
