No,자료시점,분류,분류,분류,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
No,자료시점,분류,분류,분류,계,국가,공무원,고용자,피고용자,직장동료,친구,애인,동거친족,기타친족,거래상대방,이웃,지인,타인,기타,미상
No,자료시점,분류,분류,분류,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료
45,2017년,형법범,강력범죄(폭력),"폭력행위등(단체등의구성,활동)",618,48,4,0,0,3,4,3,2,1,3,1,13,180,277,79
46,2017년,형법범,강력범죄(폭력),"폭력행위등(손괴,강요,주거침입등)","2,987",30,2,17,6,38,47,6,4,67,113,50,83,"1,471",247,806
47,2017년,형법범,강력범죄(폭력),폭행,"228,999",0,149,290,459,"3,418","4,470","4,640","18,389","2,474","1,946","3,972","6,702","71,866","3,714","106,510"
48,2017년,형법범,강력범죄(폭력),협박,"17,463",45,22,61,50,222,265,974,"2,185",434,190,626,647,"6,021",764,"4,957"
49,2018년,형법범,강력범죄(흉악),강도,"1,320",0,0,2,4,2,29,19,1,5,16,13,77,793,126,233
50,2018년,형법범,강력범죄(흉악),방화,"1,368",58,10,6,5,7,7,75,202,41,19,67,60,475,158,178
51,2018년,형법범,강력범죄(흉악),살인,"1,095",0,5,3,2,43,28,68,183,40,5,31,116,177,173,221
52,2018년,형법범,강력범죄(흉악),성폭력,"32,858",0,19,252,282,"1,097",927,"1,092",593,274,201,503,"3,101","15,952","1,385","7,180"
53,2018년,형법범,강력범죄(폭력),공갈,"5,397",30,0,33,17,56,242,92,10,16,113,20,431,"1,690",396,"2,251"
54,2018년,형법범,강력범죄(폭력),상해,"65,210",0,39,161,210,"3,309","3,172","2,397","4,682","1,470",617,"2,666","7,455","29,007","2,247","7,778"
55,2018년,형법범,강력범죄(폭력),약취와 유인,268,0,0,1,0,0,0,7,7,23,3,3,13,115,10,86
56,2018년,형법범,강력범죄(폭력),체포와 감금,"2,495",0,0,28,14,15,68,295,102,40,60,20,231,504,86,"1,032"
57,2018년,형법범,강력범죄(폭력),"폭력행위등(단체등의구성,활동)",970,92,1,0,0,0,5,1,0,0,0,3,62,214,342,250
58,2018년,형법범,강력범죄(폭력),"폭력행위등(손괴,강요,주거침입등)","2,826",21,22,9,16,33,33,9,12,76,125,59,104,"1,042",207,"1,058"
59,2018년,형법범,강력범죄(폭력),폭행,"221,369",0,126,290,414,"3,438","3,103","4,088","19,232","2,453","1,732","3,765","8,961","65,566","4,181","104,020"
60,2018년,형법범,강력범죄(폭력),협박,"19,341",35,19,61,52,233,223,927,"2,601",523,198,753,949,"5,772",714,"6,281"
61,2019년,형법범,강력범죄(흉악),강도,"1,495",0,1,4,7,7,28,15,2,6,22,14,104,921,128,236
62,2019년,형법범,강력범죄(흉악),방화,"1,294",51,5,10,2,6,4,54,193,44,11,70,43,442,134,225
63,2019년,형법범,강력범죄(흉악),살인,"1,050",0,2,5,4,31,19,64,170,62,1,39,115,200,143,195
64,2019년,형법범,강력범죄(흉악),성폭력,"33,551",0,28,209,263,"1,096","1,057","1,206",521,264,174,499,"3,340","16,084","1,256","7,554"
65,2019년,형법범,강력범죄(폭력),공갈,"5,366",29,4,33,25,34,251,82,5,27,116,23,503,"1,686",343,"2,205"
66,2019년,형법범,강력범죄(폭력),상해,"59,687",0,50,131,158,"2,806","3,215","2,149","5,026","1,351",543,"2,351","7,099","26,135","1,890","6,783"
67,2019년,형법범,강력범죄(폭력),약취와 유인,368,0,0,3,0,1,2,4,17,29,3,2,15,129,15,148
68,2019년,형법범,강력범죄(폭력),체포와 감금,"2,546",0,0,8,8,43,95,255,144,81,19,14,199,533,129,"1,018"
69,2019년,형법범,강력범죄(폭력),"폭력행위등(단체등의구성,활동)",502,51,0,0,4,0,21,0,0,0,0,1,18,131,171,105
70,2019년,형법범,강력범죄(폭력),"폭력행위등(손괴,강요,주거침입등)","3,248",61,2,29,28,40,38,11,6,61,64,68,105,"1,215",199,"1,321"
71,2019년,형법범,강력범죄(폭력),폭행,"217,391",0,109,261,354,"3,241","3,324","4,008","22,838","2,612","1,655","3,777","9,160","63,762","3,749","98,541"
72,2019년,형법범,강력범죄(폭력),협박,"23,561",42,12,49,58,297,229,986,"3,744",664,211,886,"1,172","6,561",867,"7,783"
