2018-01-01,"폭력행위등(단체등의구성,활동)",970,92,1,0,0,0,5,1,0,0,0,3,62,214,342,250
2018-01-01,"폭력행위등(손괴,강요,주거침입등)",2826,21,22,9,16,33,33,9,12,76,125,59,104,1042,207,1058
2018-01-01,폭행,221369,0,126,290,414,3438,3103,4088,19232,2453,1732,3765,8961,65566,4181,104020
2018-01-01,협박,19341,35,19,61,52,233,223,927,2601,523,198,753,949,5772,714,6281
2019-01-01,강도,1495,0,1,4,7,7,28,15,2,6,22,14,104,921,128,236
2019-01-01,방화,1294,51,5,10,2,6,4,54,193,44,11,70,43,442,134,225
2019-01-01,살인,1050,0,2,5,4,31,19,64,170,62,1,39,115,200,143,195
2019-01-01,성폭력,33551,0,28,209,263,1096,1057,1206,521,264,174,499,3340,16084,1256,7554
2019-01-01,공갈,5366,29,4,33,25,34,251,82,5,27,116,23,503,1686,343,2205
2019-01-01,상해,59687,0,50,131,158,2806,3215,2149,5026,1351,543,2351,7099,26135,1890,6783
2019-01-01,약취와 유인,368,0,0,3,0,1,2,4,17,29,3,2,15,129,15,148
2019-01-01,체포와 감금,2546,0,0,8,8,43,95,255,144,81,19,14,199,533,129,1018
2019-01-01,"폭력행위등(단체등의구성,활동)",502,51,0,0,4,0,21,0,0,0,0,1,18,131,171,105
2019-01-01,"폭력행위등(손괴,강요,주거침입등)",3248,61,2,29,28,40,38,11,6,61,64,68,105,1215,199,1321
2019-01-01,폭행,217391,0,109,261,354,3241,3324,4008,22838,2612,1655,3777,9160,63762,3749,98541
2019-01-01,협박,23561,42,12,49,58,297,229,986,3744,664,211,886,1172,6561,867,7783
