No,자료시점,분류,분류,분류,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
No,자료시점,분류,분류,분류,계,남자(계),여자(계),정상(소계),정상(소계),정상(소계),정신장애(소계),정신장애(소계),정신장애(소계),정신장애(소계),정신장애(소계),정신장애(소계),정신장애(소계),정신장애(소계),정신장애(소계),정신장애(소계),주취(소계),주취(소계),주취(소계),월경시이상,미상
No,자료시점,분류,분류,분류,계,남자(계),여자(계),정상(소계),정상(남),정상(여),정신장애(소계),정신이상(소계),정신이상(남),정신이상(여),정신박약(소계),정신박약(남),정신박약(여),기타정신장애(소계),기타정신장애(남),기타정신장애(여),주취(소계),주취(남),주취(여),월경시이상,미상
No,자료시점,분류,분류,분류,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료
35,2016년,형법범,강력범죄(폭력),폭행,"234,866","195,133","39,733","64,633","51,119","13,514","1,023",402,260,142,66,55,11,555,376,179,"60,606","53,230","7,376",1,"108,603"
36,2016년,형법범,강력범죄(폭력),협박,"17,569","15,729","1,840","7,967","7,136",831,216,80,63,17,10,8,2,126,101,25,"4,583","4,307",276,0,"4,803"
37,2017년,형법범,강력범죄(흉악),강도,"1,478","1,333",145,"1,061",948,113,43,17,14,3,2,1,1,24,23,1,217,212,5,0,157
38,2017년,형법범,강력범죄(흉악),방화,"1,263","1,045",218,467,397,70,145,63,38,25,8,6,2,74,58,16,503,426,77,0,148
39,2017년,형법범,강력범죄(흉악),살인,929,788,141,365,297,68,72,28,23,5,3,3,0,41,27,14,335,311,24,0,157
40,2017년,형법범,강력범죄(흉악),성폭력,"32,734","31,905",829,"16,229","15,842",387,677,138,131,7,86,85,1,453,441,12,"9,678","9,542",136,0,"6,150"
41,2017년,형법범,강력범죄(폭력),공갈,"5,466","4,746",720,"3,675","3,244",431,31,9,8,1,4,4,0,18,16,2,308,294,14,0,"1,452"
42,2017년,형법범,강력범죄(폭력),상해,"73,808","61,530","12,278","34,810","27,672","7,138",635,228,154,74,34,30,4,373,279,94,"31,227","27,802","3,425",1,"7,135"
43,2017년,형법범,강력범죄(폭력),약취와 유인,295,209,86,166,121,45,7,0,0,0,0,0,0,7,5,2,23,23,0,0,99
44,2017년,형법범,강력범죄(폭력),체포와 감금,"2,704","2,185",519,"1,377","1,120",257,14,5,5,0,1,1,0,8,6,2,254,239,15,0,"1,059"
45,2017년,형법범,강력범죄(폭력),"폭력행위등(단체등의구성,활동)",602,582,20,504,490,14,0,0,0,0,0,0,0,0,0,0,24,23,1,0,74
46,2017년,형법범,강력범죄(폭력),"폭력행위등(손괴,강요,주거침입등)","2,897","2,326",571,"1,835","1,446",389,5,1,0,1,2,0,2,2,1,1,297,265,32,0,760
