2018-01-01,폭력행위등,2595,124,168,1176,2048,1640,467,209,267
2018-01-01,폭행,67956,3218,5634,26804,29042,14289,2596,994,851
2018-01-01,협박,5761,269,392,2167,3435,2633,724,402,372
2018-01-01,마약범죄,1238,105,94,368,728,1426,914,677,618
2019-01-01,강간,950,59,73,387,1162,1268,458,297,543
2019-01-01,강도,360,27,33,93,102,101,33,17,35
2019-01-01,강제추행,5109,137,225,1474,3965,3397,823,516,749
2019-01-01,기타(강간·강제추행등),91,8,7,25,57,47,21,7,63
2019-01-01,방화,773,23,22,94,142,115,43,14,14
2019-01-01,살인(기수),176,18,7,23,18,23,13,5,16
2019-01-01,살인(미수등),360,6,4,20,26,24,11,11,19
2019-01-01,유사강간,145,10,6,50,199,188,70,40,60
2019-01-01,절도범죄,18371,2896,3028,20441,33217,23762,6341,3064,2553
2019-01-01,공갈,186,27,29,160,463,888,602,326,350
2019-01-01,상해,10414,659,1128,6702,9507,5286,1107,515,677
2019-01-01,손괴,10371,566,852,5771,8894,6189,1441,575,563
2019-01-01,약취·유인,50,7,3,26,55,51,15,5,12
2019-01-01,체포·감금,436,33,25,147,220,180,49,44,58
2019-01-01,폭력행위등,2043,98,157,1084,1956,1668,453,234,252
2019-01-01,폭행,57418,3154,5712,29469,33176,15978,2554,1063,937
2019-01-01,협박,6750,285,523,2866,4488,3202,861,431,401
2019-01-01,마약범죄,1561,120,88,424,949,1680,1134,972,660
